doc_id,filename,tier_claude,tier_gpt,tier_change,comp_claude,comp_gpt,delta_comp
2c546264de7695f575b71493a269e2cade862347e7b97bebae429dcfd279bc9b,2020-03-31_144967_DHS_REPORT_08-1665_144967.pdf,1,4,-3,8.15,0.3,7.85
078d95d623a9f938041a3ef1235e72ae559a22c388b28e1f1bfe8789debc03e6,2023-11-07_185772_Revised_motion_by_Supervisors_Horvath_and_Solis_23-4049_185772.pdf,1,4,-3,8.4,0.75,7.65
cde9f14a8607b4326506ea9c027e57a4ffb0cb881604ee77e8ac3893b0e3ef22,2025-06-17_204142_Motion_by_Supervisor_Solis_25-3371_204142.pdf,1,4,-3,7.9,0.45,7.45
ce57281afc1b2be369ea4e6cf2a7701cae343b956e8d5f95e61e312d2ba349a9,2022-01-25_1-25-22_Board_Meeting_Transcript_1118909.pdf,1,4,-3,7.75,0.45,7.3
c54cbdf34d3e817df3f849aede819d44efe29dee3dc4775479fa9936d81935c9,2021-02-09_153603_Presentation_19-7713_153603.pdf,1,4,-3,7.65,0.45,7.2
ce6f015805d3418919bbacf5ce017fc48656c2b555794fbc49b849d8edb9924c,2023-02-07_177455_Board_Letter_23-0499_177455.pdf,1,4,-3,7.6,0.45,7.15
e3b23a6f0dd6a5ff616bb66526953b2692e09e1f4d7705b9971a5e74c70eb1d1,2026-02-12_Youre_The_Chair_-_Com_Networking_Summit_-_2-12-2026_YoureTheChair.pdf,1,4,-3,7.6,0.6,7.0
074d2d6dc476624b968879f26c2f807e5e60fd05f7cc80f3feb81e6258401a4a,2022-11-29_175329_Public_CommentCorrespondence_11-1977_175329.pdf,1,4,-3,7.4,0.45,6.95
11ea5797476d888294973a579f06e0363c98f504c105155ee41b4bc20926fe6f,2023-02-28_178395_Report_23-0881_178395.pdf,1,4,-3,7.85,0.9,6.95
ce9629ef7317e1006ac21b06c34f0142d087c2a2037428159b49735858592985,2021-08-10_08-10-21_Board_Meeting_Transcript_C_1111561.pdf,1,4,-3,7.2,0.45,6.75
30471bbd9610f05ba22c12729f87623525362b2f4e96bf85f1fccfc13c3f6b06,2024-08-06_193957_Public_CommentCorrespondence_24-3171_193957.pdf,1,4,-3,7.25,0.6,6.65
ce39e38db6dffe2a79ffc9c6e7d8916c3397b2e84ec12ff897241b2bc4c05809,2023-04-04_179166_Board_Letter_23-1276_179166.pdf,1,4,-3,7.55,0.9,6.65
4c3a63c77ee0a17010326593aaea496de3ba18ad4e04461fb41437c50f6d375b,2021-10-19_162017_2020-000606-1-5_Housing_Element_Update_BL_21-3709_162017.pdf,1,4,-3,7.35,0.95,6.4
ce7109481e256be81ea686d51a337a9732f2c8a65231dcbeef76e05497d9a6d3,2021-08-31_161412_Report_21-3358_161412.pdf,1,4,-3,7.3,0.9,6.4
4aee0a57bb2c150a7dac78ac0dc15990a4b8a79d5122036c96934db7df2d6b28,2023-11-07_185645_Public_CommentCorrespondence_23-4056_185645.pdf,1,4,-3,6.7,0.3,6.4
