rank,doc_id,filename,tier_final,comp_final,robust_t1,avg_score_carefirst,avg_score_ai_governance,avg_score_intersection,avg_score_evidentiary,intersection_clipped,contested,comp_claude,tier_claude,comp_gpt,tier_gpt,original_path
1,ce618a90955b7060e29a7e2bdfdab9ca6ca51c690c175cf22acf758cc5c032da,2020-11-24_150880_Report_112420_20-6366_150880.pdf,1,8.05,True,9.5,8.5,8.0,5.0,False,False,7.7,1,8.4,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2020-11-24_150880_Report_112420_20-6366_150880.pdf
2,2c60d3bc1b981e1360142769f385a4a0ad2937cae47a4d0d4c527e48c0d93596,2022-08-30_172115_Motion_by_Supervisors_Kuehl_and_Solis_22-3161_172115.pdf,1,7.75,True,9.5,9.0,5.5,8.0,False,False,8.15,1,7.35,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-08-30_172115_Motion_by_Supervisors_Kuehl_and_Solis_22-3161_172115.pdf
3,2ff227379410a9c7cbee0b6eee59bbaa898680cd5c62072faaf8881b022c9b0a,2024-09-10_194860_Board_Letter_24-3671_194860.pdf,1,7.625,True,6.0,10.0,8.0,5.5,True,False,6.75,1,8.85,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-10_194860_Board_Letter_24-3671_194860.pdf
4,304409e1ab889a70c80b6d67d423d6793d51152d1f92fab32fc217f6c290f23b,2022-06-28_169911_Motion_by_Supervisors_Hahn_and_Kuehl_22-2282_169911.pdf,1,7.575,True,10.0,9.0,5.5,6.0,False,False,7.85,1,7.3,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-06-28_169911_Motion_by_Supervisors_Hahn_and_Kuehl_22-2282_169911.pdf
5,37e344fc1a3ce944c0cb16133bd86f063fef86cdd40616781ef32e0a9bea12e6,2024-09-24_195845_Public_Comment_24-4354_195845.pdf,1,7.45,True,9.5,6.5,7.5,5.5,False,False,6.05,1,8.85,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-24_195845_Public_Comment_24-4354_195845.pdf
6,f14f46e2460d117934d4d43214d1a2970f96127253c740b956a37920d24076cc,2024-09-10_194826_Board_Letter_24-3625_194826.pdf,1,7.3,True,8.0,9.0,5.5,7.5,False,False,6.1,1,8.5,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2024-09-10_194826_Board_Letter_24-3625_194826.pdf
7,c60dc9c4e674f02256e9d78eba470f467f1d5c075f4b88e686d7b5e22b979938,2021-06-22_159463_Report_21-2556_159463.pdf,1,7.05,True,9.5,7.0,6.0,5.5,False,False,6.4,1,7.7,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-06-22_159463_Report_21-2556_159463.pdf
8,a8671ac062ef791661a3a64a42fb75548135f8aebba4fd6cd41af354671e2f8d,2022-06-28_170360_Report_22-2453_170360.pdf,1,7.025,True,7.0,6.5,7.0,8.0,False,False,6.5,1,7.55,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2022-06-28_170360_Report_22-2453_170360.pdf
9,ce5b6294e5af7f7b7e13c914dd222be2dc26d43927491aded5e89fe7a50f747c,2025-01-07_198182_Board_Letter_24-5830_198182.pdf,1,7.025,True,8.5,8.5,6.0,4.5,False,False,7.4,1,6.65,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2025-01-07_198182_Board_Letter_24-5830_198182.pdf
10,52380e1d866aa346a93912f305e88e2ec471da3097f9f832faebc78aca83dd81,2021-08-10_160797_KB_Motion_21-3156_160797.pdf,1,7.0,True,9.0,6.0,6.5,6.5,False,False,6.0,1,8.0,1,C:\Users\Matheus.Ligeiro\scrap_page\lacounty_keyword_docs\2021-08-10_160797_KB_Motion_21-3156_160797.pdf
